simple_surname,full_name
"Abaco", "Abaco, Evaristo Felice dall'"
"aBeckett", "à Beckett, Mary Anne"
"Abel", "Abel, Carl Friedrich"
"Aguado","Aguado, Dionisio"
"Aguilera", "Aguilera de Heredia, Sebastian"
"AguileraDeHeredia", "Aguilera de Heredia, Sebastian"
"Albeniz", "Albéniz, Isaac"
"Albinoni", "Albinoni, Tomaso"
"Alexander", "Alexander, Cecil Frances"
"Alfven", "Alfvén, Hugo"
"Alkan", "Alkan, Charles-Valentin"
"Allegri", "Allegri, Gregorio"
"AllSonsAndDaughters", "All Sons & Daughters"
"Andersen","Andersen, Joachim"
"Antheil", "Antheil, George"
"Arban","Arban, Jean-Baptiste"
"Arensky", "Arensky, Anton"
"Arne", "Arne, Thomas"
"Arnold", "Arnold, Malcolm"
"Asbury", "Asbury, Cory"
"Auber", "Auber, Daniel"
"Aulin", "Aulin, Tor"
"Auric", "Auric, Georges"
"Babbitt", "Babbitt, Milton"
"Bach", "Bach, Johann Sebastian"
"BachCPE", "Bach, Carl Philipp Emanuel"
"BachJC", "Bach, Johann Christian"
"BachJCF", "Bach, Johann Christoph Friedrich"
"BachJS", "Bach, Johann Sebastian"
"BachWF", "Bach, Wilhelm Friedemann"
"BaermannC","Baermann, Carl"
"Baker", "Baker, Henry W."
"Balakirev", "Balakirev, Mily"
"Baldwin", "Baldwin, Jonathan"
"Banchieri", "Banchieri, Adriano"
"Bantock", "Bantock, Granville"
"Barber", "Barber, Samuel"
"BaringGould", "Baring-Gould, Sabine"
"Barret","Barret, Apollon Marie-Rose"
"Barrios", "Barrios Mangoré, Agustín"
"Bartok", "Bartók, Béla"
"Bax", "Bax, Arnold"
"Beach", "Beach, Amy"
"Beethoven", "Beethoven, Ludwig van"
"Bellini", "Bellini, Vincenzo"
"Berio", "Berio, Luciano"
"Berlioz", "Berlioz, Hector"
"Bernstein", "Bernstein, Leonard"
"Berwald", "Berwald, Franz"
"Bethel", "Bethel Music"
"Biber", "Biber, Heinrich Ignaz Franz"
"Billings", "Billings, William"
"Bizet", "Bizet, Georges"
"Blazhevich","Blazhevich, Vladislav"
"Bliss", "Bliss, Arthur"
"Bliss", "Bliss, Philip"
"Bloch", "Bloch, Ernest"
"Blow", "Blow, John"
"Boccherini", "Boccherini, Luigi"
"Boehm","Boehm, Theobald"
"Boellmann", "Boëllmann, Léon"
"Boismortier", "Boismortier, Joseph Bodin de"
"Boito", "Boito, Arrigo"
"Bonar", "Bonar, Horatius"
"Bononcini", "Bononcini, Giovanni"
"Boonzaaier", "Boonzaaier, Kristi"
"Bordogni","Bordogni, Marco"
"Borodin", "Borodin, Alexander"
"Bottesini", "Bottesini, Giovanni"
"Boulanger", "Boulanger, Lili"
"Boulez", "Boulez, Pierre"
"Boyce", "Boyce, William"
